                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9642,                 1.8438,                0.87069,                0.97402,                      1,                  0.995,                0.51599,                 1.6921,                0.77635,                0.88358,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.7729,                 1.6654,                0.91305,                0.97402,                      1,                  0.995,                0.51599,                 1.6921,                0.77635,                0.88358,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.8906,                 1.8739,                0.90062,                 0.9674,                      1,                  0.995,                0.51406,                 1.7062,                 0.7941,                 0.8823,             0.00047876,             0.00047876,             0.00047876
                     38,                  1.823,                 1.6219,                0.94144,                 0.9674,                      1,                  0.995,                0.51406,                 1.7062,                 0.7941,                 0.8823,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.7956,                 1.5406,                0.87867,                0.97116,                      1,                  0.995,                0.51211,                 1.7734,                0.78249,                 0.8878,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.8481,                 1.7184,                0.86381,                0.97116,                      1,                  0.995,                0.51211,                 1.7734,                0.78249,                 0.8878,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.7677,                 2.0713,                0.91639,                0.98782,                      1,                  0.995,                0.50501,                 1.8189,                0.77326,                0.89012,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.7786,                 2.1724,                0.84757,                0.98782,                      1,                  0.995,                0.50501,                 1.8189,                0.77326,                0.89012,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.7639,                 2.5406,                 0.8974,                0.98017,                      1,                  0.995,                0.49478,                 1.8494,                0.79154,                0.89084,             0.00028072,             0.00028072,             0.00028072
                     44,                  1.748,                  2.059,                0.87295,                0.98017,                      1,                  0.995,                0.49478,                 1.8494,                0.79154,                0.89084,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.7049,                 2.3442,                0.88495,                0.98062,                      1,                  0.995,                0.51211,                 1.8052,                0.80183,                0.88689,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.8154,                 2.1124,                0.85201,                0.98062,                      1,                  0.995,                0.51211,                 1.8052,                0.80183,                0.88689,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.7971,                 2.4342,                0.91162,                0.98346,                      1,                  0.995,                0.51327,                 1.7583,                0.82011,                 0.8836,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.7105,                 2.1568,                0.87656,                0.98346,                      1,                  0.995,                0.51327,                 1.7583,                0.82011,                 0.8836,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.7006,                 2.0943,                0.88945,                0.98038,                      1,                  0.995,                0.51601,                 1.7335,                 0.8466,                 0.8819,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                  1.747,                 2.4583,                0.87522,                0.98038,                      1,                  0.995,                0.51601,                 1.7335,                 0.8466,                 0.8819,             4.9677e-05,             4.9677e-05,             4.9677e-05
