                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8365,                 6.7033,                 2.0606,                      0,                      0,                      0,                      0,                 3.1238,                 5.1252,                 1.2172,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.7377,                 5.3761,                 1.4808,                      0,                      0,                      0,                      0,                 3.0379,                 4.7306,                 1.1355,             0.00013723,             0.00013723,             0.00013723
                      3,                 2.8188,                 5.1516,                 1.1309,                      0,                      0,                      0,                      0,                 2.7935,                  4.608,                 1.0872,             0.00021129,             0.00021129,             0.00021129
                      4,                 3.0657,                 4.6101,                 1.1292,                      0,                      0,                      0,                      0,                  1.889,                 4.2859,                0.94766,             0.00028218,             0.00028218,             0.00028218
                      5,                 2.3343,                 3.6216,                 1.0508,                0.00067,                0.04762,                0.00038,                  4e-05,                 1.7806,                 4.1878,                0.92286,              0.0003499,              0.0003499,              0.0003499
                      6,                 2.5259,                 3.5602,                 1.0398,                0.00133,                0.09524,                0.00096,                0.00018,                 1.8723,                 4.0339,                0.93691,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.9122,                 2.5015,                 0.9156,                0.00133,                0.09524,                0.00096,                0.00018,                 1.8723,                 4.0339,                0.93691,             0.00047585,             0.00047585,             0.00047585
                      8,                 2.1342,                 2.5174,                 0.9225,                0.00467,                0.33333,                0.00505,                 0.0012,                  2.165,                  3.804,                0.96984,             0.00053407,             0.00053407,             0.00053407
                      9,                 2.1218,                 2.8034,                0.95264,                0.01333,                0.95238,                0.03263,                0.01426,                 2.2003,                 3.5659,                0.96972,             0.00058912,             0.00058912,             0.00058912
                     10,                 2.2051,                 2.5745,                0.95513,                0.01333,                0.95238,                0.03263,                0.01426,                 2.2003,                 3.5659,                0.96972,               0.000641,               0.000641,               0.000641
                     11,                 2.0313,                 2.2494,                 0.9177,                  0.014,                      1,                0.04107,                0.01766,                 1.9292,                 3.4223,                0.91989,             0.00068972,             0.00068972,             0.00068972
                     12,                 2.2726,                 2.6182,                0.91447,                  0.014,                      1,                0.04107,                0.01766,                 1.9292,                 3.4223,                0.91989,             0.00073527,             0.00073527,             0.00073527
                     13,                 2.1294,                 2.1442,                 0.9745,                  0.014,                      1,                0.04335,                0.01994,                  1.927,                 3.3502,                0.89994,             0.00077765,             0.00077765,             0.00077765
                     14,                 2.1443,                 1.8415,                0.93727,                  0.014,                      1,                0.04335,                0.01994,                  1.927,                 3.3502,                0.89994,             0.00081686,             0.00081686,             0.00081686
                     15,                 2.1302,                 1.9845,                0.94761,                  0.014,                      1,                0.04196,                0.01973,                 1.9262,                 3.1923,                0.88695,              0.0008529,              0.0008529,              0.0008529
                     16,                 2.1589,                 2.0363,                0.90745,                  0.014,                      1,                0.04196,                0.01973,                 1.9262,                 3.1923,                0.88695,             0.00088578,             0.00088578,             0.00088578
                     17,                 2.1017,                 2.1346,                0.87968,                  0.014,                      1,                0.04196,                0.01973,                 1.9262,                 3.1923,                0.88695,             0.00091549,             0.00091549,             0.00091549
                     18,                 2.2389,                 2.1186,                 0.9679,                  0.014,                      1,                0.90146,                0.41464,                 2.0495,                 2.7295,                 0.9069,             0.00094203,             0.00094203,             0.00094203
                     19,                 2.0147,                 1.8424,                0.97334,                  0.014,                      1,                0.90146,                0.41464,                 2.0495,                 2.7295,                 0.9069,              0.0009654,              0.0009654,              0.0009654
                     20,                 2.0596,                 1.6258,                0.90636,                  0.014,                      1,                0.90146,                0.41464,                 2.0495,                 2.7295,                 0.9069,              0.0009856,              0.0009856,              0.0009856
                     21,                 2.0128,                 1.8737,                0.93453,                  0.014,                      1,                0.90146,                0.41464,                 2.0495,                 2.7295,                 0.9069,              0.0010026,              0.0010026,              0.0010026
                     22,                  2.054,                 1.9951,                0.93615,                      1,                0.92558,                0.99318,                0.43355,                 2.1553,                 1.9069,                0.93485,              0.0010165,              0.0010165,              0.0010165
                     23,                  2.103,                 1.8831,                0.95073,                      1,                0.92558,                0.99318,                0.43355,                 2.1553,                 1.9069,                0.93485,              0.0010272,              0.0010272,              0.0010272
                     24,                 2.1524,                 1.8867,                0.97605,                      1,                0.92558,                0.99318,                0.43355,                 2.1553,                 1.9069,                0.93485,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.9656,                 1.8666,                 0.9668,                      1,                0.92558,                0.99318,                0.43355,                 2.1553,                 1.9069,                0.93485,              0.0010391,              0.0010391,              0.0010391
                     26,                 2.0632,                 1.6563,                0.91593,                      1,                0.95216,                  0.995,                0.48091,                 1.9566,                 1.4446,                0.90644,                0.00101,                0.00101,                0.00101
                     27,                 2.0472,                   1.86,                0.88054,                      1,                0.95216,                  0.995,                0.48091,                 1.9566,                 1.4446,                0.90644,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.8748,                 1.7089,                0.89875,                      1,                0.95216,                  0.995,                0.48091,                 1.9566,                 1.4446,                0.90644,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.1283,                 1.8705,                0.92318,                      1,                0.95216,                  0.995,                0.48091,                 1.9566,                 1.4446,                0.90644,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.8708,                 1.7412,                0.88434,                0.96064,                0.95238,                0.99318,                0.50662,                 1.7469,                 1.3257,                0.87931,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.8755,                 1.6205,                0.88504,                0.96064,                0.95238,                0.99318,                0.50662,                 1.7469,                 1.3257,                0.87931,               0.000812,               0.000812,               0.000812
                     32,                 1.9298,                 1.4577,                0.87614,                0.96064,                0.95238,                0.99318,                0.50662,                 1.7469,                 1.3257,                0.87931,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.8111,                 1.4466,                0.93022,                0.96064,                0.95238,                0.99318,                0.50662,                 1.7469,                 1.3257,                0.87931,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.8377,                 1.7248,                0.86406,                0.96168,                0.95238,                0.99318,                0.52251,                 1.7203,                 1.2941,                0.88639,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.9155,                 1.4781,                0.91627,                0.96168,                0.95238,                0.99318,                0.52251,                 1.7203,                 1.2941,                0.88639,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.7792,                 1.5367,                0.85145,                0.96168,                0.95238,                0.99318,                0.52251,                 1.7203,                 1.2941,                0.88639,               0.000614,               0.000614,               0.000614
                     37,                 2.1715,                 1.6809,                0.93176,                0.96168,                0.95238,                0.99318,                0.52251,                 1.7203,                 1.2941,                0.88639,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.8635,                 1.3772,                0.89534,                0.98077,                      1,                  0.995,                0.51668,                 1.7629,                 1.2445,                0.88633,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.905,                 1.4542,                0.90267,                0.98077,                      1,                  0.995,                0.51668,                 1.7629,                 1.2445,                0.88633,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.8866,                 1.3499,                0.92632,                0.98077,                      1,                  0.995,                0.51668,                 1.7629,                 1.2445,                0.88633,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.6416,                 1.5682,                0.94009,                0.98077,                      1,                  0.995,                0.51668,                 1.7629,                 1.2445,                0.88633,               0.000416,               0.000416,               0.000416
                     42,                 1.8501,                  1.655,                0.96783,                 0.9978,                      1,                  0.995,                0.48253,                 1.7567,                 1.2273,                0.88084,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.7224,                 1.8126,                0.90801,                 0.9978,                      1,                  0.995,                0.48253,                 1.7567,                 1.2273,                0.88084,              0.0003368,              0.0003368,              0.0003368
