                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 30.059,                      0,                      0,                      0,                      0,                      0,                      0,                 19.299,                      0,                  6e-05,                  6e-05,                  6e-05
                      2,                      0,                 29.546,                      0,                      0,                      0,                      0,                      0,                      0,                 19.403,                      0,             0.00013723,             0.00013723,             0.00013723
                      3,                      0,                 29.104,                      0,                      0,                      0,                      0,                      0,                      0,                 19.445,                      0,             0.00021129,             0.00021129,             0.00021129
                      4,                      0,                 28.684,                      0,                      0,                      0,                      0,                      0,                      0,                 19.453,                      0,             0.00028218,             0.00028218,             0.00028218
                      5,                      0,                 27.966,                      0,                      0,                      0,                      0,                      0,                      0,                 19.412,                      0,              0.0003499,              0.0003499,              0.0003499
                      6,                      0,                 27.364,                      0,                      0,                      0,                      0,                      0,                      0,                 19.358,                      0,             0.00041446,             0.00041446,             0.00041446
                      7,                      0,                 26.822,                      0,                      0,                      0,                      0,                      0,                      0,                 19.358,                      0,             0.00047585,             0.00047585,             0.00047585
                      8,                      0,                 26.116,                      0,                      0,                      0,                      0,                      0,                      0,                 19.263,                      0,             0.00053407,             0.00053407,             0.00053407
                      9,                      0,                 25.816,                      0,                      0,                      0,                      0,                      0,                      0,                 19.102,                      0,             0.00058912,             0.00058912,             0.00058912
                     10,                      0,                 25.266,                      0,                      0,                      0,                      0,                      0,                      0,                 19.102,                      0,               0.000641,               0.000641,               0.000641
                     11,                      0,                 24.792,                      0,                      0,                      0,                      0,                      0,                      0,                 18.788,                      0,             0.00068972,             0.00068972,             0.00068972
                     12,                      0,                 24.349,                      0,                      0,                      0,                      0,                      0,                      0,                 18.788,                      0,             0.00073527,             0.00073527,             0.00073527
                     13,                      0,                 23.852,                      0,                      0,                      0,                      0,                      0,                      0,                 18.162,                      0,             0.00077765,             0.00077765,             0.00077765
                     14,                      0,                 23.558,                      0,                      0,                      0,                      0,                      0,                      0,                 18.162,                      0,             0.00081686,             0.00081686,             0.00081686
                     15,                      0,                 23.541,                      0,                      0,                      0,                      0,                      0,                      0,                 17.105,                      0,              0.0008529,              0.0008529,              0.0008529
                     16,                      0,                 22.617,                      0,                      0,                      0,                      0,                      0,                      0,                 17.105,                      0,             0.00088578,             0.00088578,             0.00088578
                     17,                      0,                 22.653,                      0,                      0,                      0,                      0,                      0,                      0,                 17.105,                      0,             0.00091549,             0.00091549,             0.00091549
                     18,                      0,                 22.654,                      0,                      0,                      0,                      0,                      0,                      0,                 15.792,                      0,             0.00094203,             0.00094203,             0.00094203
                     19,                      0,                  21.73,                      0,                      0,                      0,                      0,                      0,                      0,                 15.792,                      0,              0.0009654,              0.0009654,              0.0009654
                     20,                      0,                 21.831,                      0,                      0,                      0,                      0,                      0,                      0,                 15.792,                      0,              0.0009856,              0.0009856,              0.0009856
