                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4816,                 3.0725,                0.78123,                0.95957,                0.96296,                0.93801,                0.45379,                 1.8906,                 1.1686,                0.92071,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.8781,                 2.3322,                0.89544,                0.99583,                      1,                  0.995,                0.47673,                 1.8527,                 1.1271,                0.91109,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.7542,                 1.6529,                 0.9526,                0.99583,                      1,                  0.995,                0.47673,                 1.8527,                 1.1271,                0.91109,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.8486,                 1.7653,                0.88633,                0.99585,                      1,                  0.995,                0.49125,                 1.8235,                 1.1083,                0.90681,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.7582,                 2.1466,                 0.8548,                0.99585,                      1,                  0.995,                0.49125,                 1.8235,                 1.1083,                0.90681,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.8124,                 2.7565,                0.93743,                0.99564,                      1,                  0.995,                0.49836,                 1.8091,                 1.1076,                0.90693,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.7573,                 3.4386,                0.81829,                0.99564,                      1,                  0.995,                0.49836,                 1.8091,                 1.1076,                0.90693,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.4983,                 3.7166,                0.76916,                0.95803,                0.96296,                0.95582,                0.48501,                 1.8275,                 1.1123,                0.91196,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.5308,                 3.6278,                0.75049,                0.95803,                0.96296,                0.95582,                0.48501,                 1.8275,                 1.1123,                0.91196,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.8108,                 2.7886,                0.90756,                0.95798,                0.96296,                0.95729,                0.48402,                 1.8154,                 1.1043,                0.91163,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.7329,                 2.9186,                0.81875,                0.95798,                0.96296,                0.95729,                0.48402,                 1.8154,                 1.1043,                0.91163,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.5752,                 4.3205,                0.80436,                0.95761,                0.96296,                0.95728,                0.48369,                 1.7992,                 1.1111,                0.91018,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.6602,                 2.8387,                0.88203,                0.95761,                0.96296,                0.95728,                0.48369,                 1.7992,                 1.1111,                0.91018,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.5712,                 3.6599,                0.76699,                0.95748,                0.96296,                0.95838,                0.48613,                 1.7806,                 1.1171,                0.90813,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.5018,                 5.0011,                 0.7931,                0.95748,                0.96296,                0.95838,                0.48613,                 1.7806,                 1.1171,                0.90813,             4.9677e-05,             4.9677e-05,             4.9677e-05
