                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9134,                 7.7141,                 1.6896,                      0,                      0,                      0,                      0,                 3.1341,                 5.0868,                 1.1302,             0.00011669,             0.00011669,             0.00011669
                      2,                 3.3324,                 7.6444,                 1.2554,                0.00143,                0.03704,                0.00075,                0.00045,                 2.4068,                 4.7263,                0.99999,              0.0002451,              0.0002451,              0.0002451
                      3,                  2.382,                  5.791,                  1.061,                 0.0193,                0.59259,                0.01625,                0.00542,                 2.0402,                 4.1855,                 0.9156,             0.00036823,             0.00036823,             0.00036823
                      4,                 2.4207,                 4.0006,                  1.003,                 0.0284,                0.88889,                0.03197,                0.00944,                 2.0617,                 4.0264,                0.90924,             0.00048607,             0.00048607,             0.00048607
                      5,                 2.4584,                 3.7712,                0.98313,                0.02897,                0.92593,                0.03864,                0.01526,                 1.9957,                 3.8166,                0.89227,             0.00059864,             0.00059864,             0.00059864
                      6,                 2.3065,                 6.2801,                0.91618,                0.03195,                      1,                0.04181,                0.01833,                 2.0387,                 3.7541,                0.89911,             0.00070592,             0.00070592,             0.00070592
                      7,                 2.6305,                 4.2529,                0.95493,                 0.0339,                0.96296,                0.04168,                 0.0183,                 2.0226,                 3.7826,                0.90847,             0.00080793,             0.00080793,             0.00080793
                      8,                 2.2398,                 7.4706,                0.81679,                0.03634,                      1,                0.04823,                0.02051,                 2.1022,                 3.6813,                0.93036,             0.00090465,             0.00090465,             0.00090465
                      9,                 2.1553,                 3.0105,                0.95666,                0.02931,                0.96296,                0.04017,                0.01493,                 2.3059,                 3.6757,                0.98053,             0.00099609,             0.00099609,             0.00099609
                     10,                  2.308,                 3.1201,                0.94655,                0.02931,                0.96296,                0.04017,                0.01493,                 2.3059,                 3.6757,                0.98053,              0.0010823,              0.0010823,              0.0010823
                     11,                 2.4788,                 4.0752,                0.94733,                0.02804,                      1,                0.15726,                0.06012,                  2.229,                 3.4144,                 1.0152,              0.0011631,              0.0011631,              0.0011631
                     12,                 2.1026,                 3.1489,                 0.9927,                0.02804,                      1,                0.15726,                0.06012,                  2.229,                 3.4144,                 1.0152,              0.0012387,              0.0012387,              0.0012387
                     13,                 2.2824,                  2.448,                0.93941,                      1,                0.35906,                0.92559,                0.33999,                  2.281,                 2.6002,                 1.0322,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.4062,                 2.6229,                0.94413,                      1,                0.35906,                0.92559,                0.33999,                  2.281,                 2.6002,                 1.0322,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.1159,                 2.4234,                0.99404,                  0.958,                0.96296,                0.94878,                0.38162,                 2.1238,                 1.6779,                0.98556,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.0372,                  3.331,                0.90114,                  0.958,                0.96296,                0.94878,                0.38162,                 2.1238,                 1.6779,                0.98556,              0.0011719,              0.0011719,              0.0011719
                     17,                  2.166,                 3.3142,                0.97018,                 0.9886,                      1,                  0.995,                0.44042,                 1.8952,                 1.6086,                0.93114,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.0096,                 1.9016,                0.90368,                 0.9886,                      1,                  0.995,                0.44042,                 1.8952,                 1.6086,                0.93114,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.9806,                 2.1232,                 0.9383,                0.99122,                      1,                  0.995,                0.42096,                  1.887,                 1.4429,                0.92076,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.0356,                 2.9697,                0.90396,                0.99122,                      1,                  0.995,                0.42096,                  1.887,                 1.4429,                0.92076,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.9572,                 2.7219,                0.88618,                 0.9973,                      1,                  0.995,                0.41461,                 2.0151,                  1.252,                0.93237,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.0546,                 2.5304,                0.91576,                 0.9973,                      1,                  0.995,                0.41461,                 2.0151,                  1.252,                0.93237,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.8849,                 2.0059,                0.88003,                0.99611,                      1,                  0.995,                0.42306,                  1.989,                 1.4337,                0.91575,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.0679,                 1.9841,                0.95569,                0.99611,                      1,                  0.995,                0.42306,                  1.989,                 1.4337,                0.91575,             0.00090785,             0.00090785,             0.00090785
                     25,                  1.963,                 2.2633,                0.90641,                0.95761,                0.96296,                0.96388,                0.44724,                 1.9085,                 1.3401,                0.90537,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.9713,                 2.1019,                0.89213,                0.95761,                0.96296,                0.96388,                0.44724,                 1.9085,                 1.3401,                0.90537,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.9373,                  1.963,                0.88754,                0.95801,                0.96296,                0.95574,                0.46994,                 1.7832,                 1.1654,                0.89963,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.8916,                 1.8632,                0.87929,                0.95801,                0.96296,                0.95574,                0.46994,                 1.7832,                 1.1654,                0.89963,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.9096,                 1.8743,                0.89167,                0.95874,                0.96296,                0.94056,                0.44899,                 1.8429,                 1.2111,                0.90774,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.8567,                 2.0732,                0.88346,                0.95874,                0.96296,                0.94056,                0.44899,                 1.8429,                 1.2111,                0.90774,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.8532,                 2.5489,                0.91757,                0.95916,                0.96296,                0.93502,                0.43942,                 1.9098,                 1.2234,                 0.9186,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.8908,                 2.5232,                0.87961,                0.95916,                0.96296,                0.93502,                0.43942,                 1.9098,                 1.2234,                 0.9186,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.9081,                 2.1185,                0.89899,                0.95906,                0.96296,                0.93504,                0.44913,                 1.9311,                  1.195,                0.92304,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.7708,                 2.7516,                0.85904,                0.95906,                0.96296,                0.93504,                0.44913,                 1.9311,                  1.195,                0.92304,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.9239,                  2.093,                0.89118,                0.95957,                0.96296,                0.93801,                0.45379,                 1.8906,                 1.1686,                0.92071,             0.00054478,             0.00054478,             0.00054478
