                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8564,                 7.1625,                 1.6528,                      0,                      0,                      0,                      0,                 3.1261,                  4.629,                 1.1099,                0.00014,                0.00014,                0.00014
                      2,                 3.2265,                 6.5319,                 1.2091,                0.00222,                0.14815,                0.00135,                0.00038,                 2.1814,                 4.1158,                0.94893,             0.00029406,             0.00029406,             0.00029406
                      3,                 2.2631,                 5.1483,                 1.0132,                0.01167,                0.77778,                0.01539,                0.00551,                 2.0315,                 3.7726,                0.89101,             0.00044178,             0.00044178,             0.00044178
